name	distance	shape	rejected
Wolverin_Ped	88.2	-0.659	да
Avatar	88.7	-0.149	да
XX20	39.8	-0.130	да
VIP_14	52.4	-0.116	да
RAIDER_CPAL	100.2	-0.097	да
MiG	116.0	-0.093	да
Huntress	87.4	-0.091	да
CARREER_MISSIONS	99.6	-0.070	да
CA_Warbike_CPAL	132.0	-0.056	да
MutonByNeoworm_UPed	42.6	-0.028	да
Doomslayer	87.6	-0.001	да
MoonNazis	73.5	0.011	да
Ultramarine	27.5	0.014	
BATTLE_FORM	119.4	0.034	да
Captain_GrayGoldOnly_CPAL	127.9	0.053	да
wtfbg_CPAL	46.0	0.074	да
Captain_Doblegold_CPAL	80.1	0.083	да
AlienResearchUnderwater_CPAL	59.4	0.089	да
sgr_02_CPAL	60.6	0.113	да
Moon_Nazi_Base	53.8	0.113	да
Soldiers1_CPAL	43.6	0.157	да
C_143_CPAL	52.7	0.189	да
Bikergirls_11	72.0	0.190	да
C_049	51.0	0.192	да
Nucc	63.7	0.197	да
AI_Hooded_CPAL	30.6	0.203	да
C_090	55.7	0.205	да
sgr_05_CPAL	43.7	0.207	да
Dream9	36.5	0.207	да
Ogre_n_Gnome_4	93.2	0.212	да
DRESSUP	130.5	0.212	да
Chort_2	44.4	0.215	да
NoConsent_CPAL	86.2	0.216	да
Catgirl01	48.0	0.220	да
CA_Thunderbird	47.3	0.221	да
Advanced_Weapons	99.8	0.223	да
Sakura_D	61.0	0.224	да
Bollz_CPAL	27.1	0.232	
Gauss_Basic_Ped	17.4	0.234	
XX50	44.3	0.235	да
CA_JET	84.3	0.237	да
Scanner	40.0	0.240	да
Biomimetic	25.3	0.241	
Humanist_Files	12.7	0.242	
GDX_Porn	79.8	0.244	да
Wojakbrain	84.3	0.247	да
CA_13_CPAL	21.3	0.254	
Golden_Peasant	92.5	0.257	да
NaziBase	72.7	0.257	да
CA_BUS2	65.9	0.258	да
Boxxed2	46.0	0.259	да
C_011_CPAL	54.5	0.262	да
C_X35_CPAL	63.1	0.265	да
Gnome_Scare	53.8	0.266	да
Systems_2	77.2	0.266	да
Planet35	51.2	0.286	да
Simulacrum	16.5	0.288	
OtherDimensions_FG_345_CPAL	38.7	0.291	да
Hybrid_Examination	27.2	0.302	
Prize_White_Rabbit	100.9	0.303	да
Gnome_13	25.5	0.303	
CA_16	50.5	0.304	да
Hell_Pwr	46.4	0.305	да
Govt_Files	23.3	0.305	
X84_CPAL	52.8	0.306	да
Captain_NoRed_CPAL	39.1	0.306	да
Systems_1	54.9	0.311	да
C_142	44.6	0.311	да
Prize_Contraband	60.4	0.312	да
Runt_Jacket_2_CPAL	55.5	0.315	да
Captain_GoldGreenOnly_CPAL	30.8	0.315	да
Sly_Bullets	42.0	0.316	да
