sec,working_set_mb,private_mb,cpu_sec,threads,handles
3,352,323,1,35,370
5,712,687,3,35,457
7,906,880,5,34,455
9,906,880,8,34,455
11,908,880,10,34,479
13,908,880,13,34,485
15,977,949,15,34,485
17,979,951,16,34,485
19,1093,1065,18,34,485
21,1094,1066,21,34,485
23,1096,1069,23,34,485
25,1098,1071,26,34,485
27,980,952,28,34,485
29,999,971,29,34,485
31,999,972,30,35,482
33,999,972,30,35,482
35,1035,1006,31,35,482
37,1039,1010,32,35,482
39,1039,1010,33,35,482
41,1428,1399,35,35,482
43,1248,1220,37,35,482
45,1258,1230,39,35,482
47,1258,1231,40,35,482
49,1258,1231,41,35,482
51,1259,1231,42,35,482
53,1260,1232,43,35,482
55,1262,1235,44,35,482
57,1264,1238,47,35,482
59,1265,1240,48,35,482
61,1266,1242,49,32,481
63,1266,1242,51,32,481
65,1266,1242,53,32,481
67,1266,1242,55,32,481
69,1266,1242,57,32,481
71,1266,1242,59,32,481
73,1266,1242,60,32,481
75,1267,1242,61,32,481
77,1267,1242,62,32,481
79,1267,1242,63,32,481
81,1270,1245,65,32,481
83,1270,1246,66,32,481
85,1270,1246,67,32,481
87,1270,1246,69,32,481
89,1271,1246,69,32,481
92,1273,1248,70,32,481
94,1274,1248,71,33,483
96,1274,1248,71,33,483
98,1274,1248,71,33,483
100,1274,1248,72,33,483
102,1274,1248,73,33,483
104,1274,1248,75,33,483
106,1274,1249,76,33,483
108,1274,1249,78,33,483
110,1274,1249,79,33,483
112,1274,1249,80,33,483
114,1274,1249,81,33,483
116,1274,1249,82,33,483
118,1274,1249,84,33,483
120,1274,1249,86,33,483
122,1274,1249,87,33,483
124,1274,1249,89,33,483
126,1275,1250,90,33,483
128,1275,1250,91,33,483
130,1278,1252,93,33,483
132,1312,1287,94,33,483
134,1269,1245,96,33,483
136,1430,1693,98,28,475
138,1684,1688,100,28,475
140,1269,1244,102,28,475
142,1273,1248,104,28,475
144,1273,1248,106,28,475
146,1273,1248,108,28,475
148,1275,1250,109,28,475
150,1276,1251,111,28,475
152,1276,1251,113,27,475
154,1276,1251,115,27,475
156,1276,1251,116,27,475
158,1276,1251,118,27,475
160,1277,1252,119,27,475
162,1283,1255,120,27,475
164,1283,1255,122,27,475
166,1283,1255,124,27,475
168,1283,1255,125,27,475
170,1284,1257,128,27,475
172,1288,1262,130,27,475
174,1289,1262,131,27,475
176,1289,1262,132,27,475
178,1289,1262,133,27,475
180,1289,1262,135,27,475
182,1289,1262,136,27,475
184,1289,1262,136,27,475
186,1289,1262,137,27,475
188,1289,1262,138,27,475
190,1289,1262,139,27,475
193,1289,1262,140,27,475
195,1289,1262,140,27,475
197,1289,1262,140,27,475
199,1289,1262,140,27,475
201,1289,1262,140,27,475
203,1289,1262,141,27,475
205,1289,1262,141,27,475
207,1289,1262,141,27,475
209,1289,1262,141,27,475
211,1289,1262,142,27,475
213,1289,1262,142,27,475
215,1289,1262,142,27,475
217,1289,1262,143,27,475
219,1289,1262,143,27,475
221,1289,1262,143,27,475
223,1289,1262,143,27,475
225,1289,1262,143,27,475
227,1289,1262,144,27,475
229,1289,1262,144,27,475
231,1289,1262,144,27,475
233,1289,1262,144,27,475
235,1289,1262,145,27,475
237,1289,1262,145,27,475
239,1289,1262,145,27,475
241,1289,1262,145,27,475
243,1289,1262,146,27,475
245,1302,1273,147,27,475
247,1304,1275,149,27,475
249,1304,1275,150,27,475
251,1304,1276,151,27,475
253,1304,1276,152,27,475
255,1312,1284,153,27,475
257,1316,1288,154,27,475
259,1319,1291,155,27,475
261,1320,1291,156,27,475
263,1320,1292,156,27,475
265,1320,1292,157,27,475
267,1320,1292,158,27,475
269,1321,1293,160,27,475
271,1321,1293,161,27,475
273,1347,1318,164,27,475
275,1325,1296,165,27,475
277,1325,1296,167,27,475
279,1329,1300,168,27,475
281,1329,1300,169,27,475
283,1330,1302,170,27,475
285,1330,1302,173,27,475
287,1330,1302,175,27,475
289,1334,1305,176,27,475
291,1334,1305,177,27,475
293,1341,1313,178,27,475
295,1341,1313,179,27,475
297,1341,1313,180,27,475
299,1341,1313,181,27,475
301,1353,1325,183,29,475
303,1353,1325,184,29,475
305,1361,1332,185,29,475
307,1361,1332,186,29,475
310,1361,1332,187,29,475
312,1361,1332,187,29,475
314,1361,1332,187,29,475
316,1361,1332,188,29,475
318,1361,1332,189,29,475
320,1373,1344,191,29,475
322,1375,1346,192,29,475
325,364,334,193,26,356
